lat, longitude
46.2458155547791, 14.3545303477911
46.2457234357673, 14.3545022034273
46.24579294766, 14.3538447331116
46.2458113004789, 14.3529886186902
46.2458137333136, 14.3525304249417
46.2458627970559, 14.3522986146191
46.2453248941264, 14.3530330019197
46.2448311161664, 14.3536964386355
46.2444891926965, 14.3541032507943
46.2441727522467, 14.3544657476592
46.2440429974778, 14.3546182780584
46.2431185538, 14.354865816464
46.242771661946, 14.3550316076203
46.2424028673089, 14.3552705332211
46.2419981100117, 14.3555417035301
46.2317559791704, 14.3472766925858
46.2292387093272, 14.3397770263388
46.2204064898881, 14.3393852656792
46.1668797491135, 14.3159736151795
46.2372765577549, 14.3493761560319
46.1891874355161, 14.3236564665802
46.1965733284012, 14.3320942223586
46.1692638820439, 14.321322501201
46.222059119855, 14.3396105915057
46.1770586336262, 14.3228558617396
46.2320243679408, 14.3524538869992
46.1823418933363, 14.3234391785509
46.2458155547791, 14.3545303477911
46.195021002622, 14.3251621434244
46.2419706487331, 14.3554565377656
46.2250318566039, 14.3370383635158
46.2148170532495, 14.3378480286958
46.2066826819755, 14.33439075423
